name,model,columnar,dummy,input,output,extern,public,V1,V2,V3,V4,phi,initV,initn,offset
R1,1,1,0,1,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R2,1,1,0,1,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R3,1,1,0,1,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R4,1,1,0,1,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R5,1,1,0,1,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R6,1,1,0,1,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
L1,1,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
L2,1,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
L3,1,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
L4,1,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
L5,1,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
T1,1,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
C2,1,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
C3,1,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
Am,1,350,0,0,0,0,0,-0.001,0.015,0,0.03,0.2,-0.05184,0.0306,0
a1,1,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a2,1,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a3,1,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a4,1,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a5,1,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a6,1,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
