name,model,columnar,dummy,input,output,extern,public,V1,V2,V3,V4,phi,initV,initn,offset
R1,MorrisLecar,1,0,0,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R2,MorrisLecar,1,0,0,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R3,MorrisLecar,1,0,0,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R4,MorrisLecar,1,0,0,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R5,MorrisLecar,1,0,0,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
R6,MorrisLecar,1,0,0,0,1,0,0.03,0.015,0,0.03,0.025,-0.05214,0.03,0
L1,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
L2,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
L3,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
L4,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
L5,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
T1,MorrisLecar,1,0,0,1,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
C2,port_in_gpot,1,0,1,0,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
C3,port_in_gpot,1,0,1,0,0,1,-0.001,0.015,-0.05,0.001,0.0025,-0.05,0.5,0.02
Am,MorrisLecar,350,0,0,0,0,0,-0.001,0.015,0,0.03,0.2,-0.05184,0.0306,0
a1,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a2,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a3,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a4,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a5,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
a6,MorrisLecar,1,1,0,0,0,0,-0.001,0.015,-0.05,0.001,0.0025,0,0,0
