prename,postname,model,cart,reverse,delay,threshold,slope,power,saturation,scale,mode
R1,L1,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,40,0
R1,L2,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,40,0
L2,L4,power_gpot_gpot,2,0,1,-0.0505,2,1,0.03,4,0
L2,L4,power_gpot_gpot,3,0,1,-0.0505,2,1,0.03,2,0
L4,R1,power_gpot_gpot,5,0,1,-0.0505,2,1,0.1,1,1
L4,L4,power_gpot_gpot,4,0,1,-0.0505,2,1,0.05,2,0
L4,L5,power_gpot_gpot,6,0,1,-0.0505,0.5,1,0.1,1,0
R2,L1,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,43,0
R3,L1,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,37,0
R4,L1,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,38,0
R5,L1,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,38,0
R6,L1,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,45,0
R2,L2,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,43,0
R3,L2,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,37,0
R4,L2,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,38,0
R5,L2,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,38,0
R6,L2,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,45,0
R1,L3,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,11,0
R2,L3,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,10,0
R3,L3,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,4,0
R4,L3,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,8,0
R5,L3,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,6,0
R6,L3,power_gpot_gpot,0,-0.08,1,-0.05214,0.02,1,0.0008,12,0
R1,a1,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,19,0
R2,a1,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,16,0
R2,a2,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,22,0
R3,a2,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,18,0
R3,a3,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,20,0
R4,a3,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,16,0
R4,a4,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,17,0
R5,a4,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,26,0
R5,a5,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,10,0
R6,a5,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,14,0
R6,a6,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,22,0
R1,a6,power_gpot_gpot,0,0,1,-0.05214,0.01,1,0.002,17,0
R2,T1,power_gpot_gpot,0,-0.07,1,-0.05214,0.01,1,0.002,2,0
R3,T1,power_gpot_gpot,0,-0.07,1,-0.05214,0.01,1,0.002,2,0
R4,T1,power_gpot_gpot,0,-0.07,1,-0.05214,0.01,1,0.002,2,0
a1,L3,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.01,1,0
a2,L3,power_gpot_gpot,0,0,1,-0.05284,0.5,1,0.01,1,0
